IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
E03   3.48   4.86   0.88  26.34 -17.29  28.96  0.14  0.17  0.02  0.87  0.53
E04   3.11   4.78   0.90  26.10 -22.35  28.17  0.13  0.17  0.02  0.85  0.52
E05  12.93  14.73   8.73  45.25  -8.14  11.04  0.38  0.37  0.35  0.85  0.52
E06  12.26  15.50   5.39  46.31 -17.19  26.92  0.37  0.38  0.23  0.81  0.49
E07  11.25  15.80   2.88  46.71 -26.03  42.78  0.36  0.40  0.10  0.77  0.47
E08  10.49  15.14   1.77  45.83 -27.81  51.01  0.33  0.36  0.04  0.84  0.53
E09  38.47  41.49  31.02  70.52  -4.85   4.84  0.69  0.63  0.74  0.76  0.46
E10  37.96  42.43  26.74  71.16  -9.25  12.92  0.69  0.65  0.71  0.79  0.48
E11  37.09  43.05  22.94  71.59 -13.90  20.50  0.68  0.65  0.65  0.80  0.48
E12  35.61  42.45  19.60  71.18 -17.04  26.46  0.66  0.65  0.59  0.79  0.48
E13  38.03  47.82  54.45  74.71 -24.32 -17.72  0.64  0.61  0.40  0.57  0.36
E14  51.20  40.52  44.86  69.84  34.90 -15.24  0.31  0.35  0.44  0.41  0.25
E15  67.22  69.43  29.92  86.72   0.60  34.49  0.34  0.39  0.73  0.83  0.42
E16  26.13  27.09  23.85  59.05   0.06  -2.83  0.56  0.51  0.64  0.78  0.48
E17  47.07  38.83  24.51  68.63  28.91  12.48  0.36  0.37  0.66  0.83  0.46
E18  34.00  43.26  28.16  71.73 -24.91  11.51  0.65  0.65  0.68  0.76  0.47
E19  29.35  28.87  41.94  60.66   5.89 -27.43  0.55  0.50  0.46  0.61  0.36
F01   1.63   2.12   1.56  16.10  -9.95   2.03  0.07  0.08  0.07  0.61  0.37
F02   1.33   2.19   1.27  16.43 -20.06   6.19  0.05  0.08  0.05  0.59  0.38
F03   1.27   2.38   1.04  17.35 -25.55  10.96  0.05  0.09  0.04  0.63  0.42
F04   1.24   2.29   0.73  16.92 -24.85  15.44  0.05  0.09  0.03  0.72  0.47
F05   6.89   8.69   6.70  35.38 -13.99   2.01  0.25  0.26  0.29  0.84  0.51
F06   5.80   9.07   5.79  36.11 -28.73   7.36  0.23  0.29  0.26  0.77  0.47
F07   4.70   9.07   4.77  36.10 -41.99  12.54  0.18  0.27  0.21  0.69  0.41
F08   3.72   8.23   4.06  34.46 -48.47  13.74  0.13  0.22  0.17  0.62  0.37
F09  38.05  41.36  34.75  70.43  -5.79  -0.90  0.67  0.62  0.72  0.69  0.43
F10  36.47  41.69  33.65  70.65 -11.93   1.09  0.65  0.61  0.72  0.71  0.43
F11  35.51  42.45  32.75  71.18 -17.40   3.34  0.67  0.64  0.73  0.72  0.44
F12  34.53  42.83  32.52  71.44 -21.84   4.14  0.67  0.65  0.73  0.72  0.45
F13  31.29  41.21  51.26  70.32 -28.50 -21.82  0.56  0.56  0.40  0.55  0.35
F14  44.20  31.86  39.17  63.23  44.00 -19.40  0.29  0.31  0.40  0.39  0.24
F15  65.15  66.80  23.75  85.40   1.67  42.79  0.33  0.39  0.66  0.88  0.45
F16  19.13  19.84  17.58  51.65  -0.02  -2.80  0.51  0.46  0.59  0.84  0.52
F17  41.80  32.74  18.88  63.95  33.80  15.54  0.34  0.34  0.59  0.86  0.48
F18  27.12  36.37  22.05  66.80 -29.32  13.94  0.59  0.61  0.63  0.79  0.48
F19  22.23  21.37  36.61  53.35   7.64 -32.97  0.44  0.40  0.41  0.59  0.35
G01   2.64   3.39   3.27  21.54 -11.20  -3.47  0.11  0.12  0.15  0.68  0.42
G02   2.12   3.38   3.56  21.48 -21.44  -5.52  0.08  0.11  0.16  0.66  0.41
G03   1.82   3.37   3.65  21.48 -28.43  -6.10  0.07  0.12  0.17  0.68  0.43
G04   1.80   3.42   3.41  21.64 -29.56  -4.22  0.07  0.12  0.16  0.67  0.42
G05   9.55  11.60  11.26  40.56 -12.48  -5.43  0.31  0.31  0.42  0.84  0.52
G06   8.22  11.90  12.14  41.05 -25.87  -7.21  0.28  0.32  0.42  0.79  0.48
G07   6.86  11.85  13.02  40.97 -38.42  -9.82  0.23  0.31  0.44  0.71  0.44
G08   6.07  11.45  13.51  40.33 -43.94 -12.29  0.20  0.29  0.45  0.68  0.41
